AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,Leuchtgens H. (6506245061),,,Jagger J. (37561471100),Abu-Raddad L.J. (14032724700),,,,Cordeiro M.F. (57210287162)
,Ptaszynski P. (6506344532),,,Ravenhill G. (37561778200),Roshandel G. (14034446800),,,,Kurzawinski T.R. (6602558554)
,Kettles D. (6506344831),,,Waterfield K. (37562234200),Salamati P. (14045860600),,,,Spoudeas H. (6603200582)
,Bisne V. (6506425783),,,Madigan B. (40361275300),Wijeratne T. (14051317700),,,,Dattani M. (7003534902)
,Kotik I. (6506461691),,,Whittamore K. (40462603200),Jakovljevic M. (14318929700),,,,Pierro A. (7007034902)
,Da Rocha Rodrigues T. (6506543129),,,Sinha D. (40762168800),Nascimento B.R. (14424406800),,,,Brain C. (7007166160)
,McEleny P. (6506583449),,,McLoughlin A. (42262464200),Cerin E. (14522064200),,,,Butler G. (7101909468)
,Vandergoten P. (6506673034),,,Gadapa N. (48361172400),Chattopadhyay A. (14827821600),,,,Sinha C.K. (8148554300)
,Mouallem J. (6506869919),,,Cullen C. (52363584200),Majdan M. (15019273100),,,,Decoppi P. (55875146300)
,Tumelero R.T. (6506995650),,,Garside M. (53879681000),Fornari C. (15022250200),,,,Hindmarsh P. (57203616076)
,Zinka E. (6507004680),,,Esisi B. (54400944900),Musa J. (15022919200),,,,Barkof F. (6504381971)
,Smolders W. (6507081066),,,Thompson S. (54999356900),Widecka J. (15047205800),,,,Sagare A.P. (6602615398)
,Vijan V.M. (6507096020),,,Doyle D. (55025922700),Widecka K. (15047328300),,,,Arvanitakis Z. (6603251223)
,Anné W. (6507174931),,,Fulton A. (55133559600),Soyiri I.N. (15052406400),,,,Werring D.J. (6603707621)
,de Souza Neto J.D. (6507179875),,,Evans S. (55214886200),Genova-Maleras R. (15070563900),,,,Mok V. (6603736999)
,Danilowicz-Szymanowicz L. (6507276912),,,Drever J. (55257496000),Badali H. (15123728900),,,,Salman R.A. (6701462635)
,Techigawara M. (6507297100),,,Rashed K. (55258984700),Ghasemi Falavarjani K. (15724975400),,,,Biessels G.J. (7003443929)
,Destrac S. (6507307066),,,Luder R. (55275539300),Cromwell E.A. (15727546000),,,,Minshall R.D. (7003575071)
,Ongen Z. (6507316266),,,Sethuraman S. (55308662600),Cooper L.T. (15754277900),,,,Gottesman R.F. (7003754268)
,Okuyan E. (6507352553),,,Harston G. (55356290300),Bhala N. (15759186000),,,,Dichgans M. (7004050470)
,Figura-Chmielewska M. (6507389491),,,Moqsith M. (55386032400),Champs A.P. (15820173400),,,,Benveniste H. (7004176822)
,Labrova R. (6507393413),,,Ball J. (55415504000),Malta D.C. (15835283500),,,,Wellington C.L. (7004200421)
,Desfontaines P. (6507421760),,,Wood D. (55468948800),Daryani A. (16021522200),,,,Pantoni L. (7004486153)
,Pozas G. (6507493187),,,Chan K. (55477596400),Sharif M. (16022734200),,,,van Buchem M.A. (7005065927)
,Koshibu Y. (6507611953),,,Brown C. (55478083900),Madotto F. (16029150500),,,,Touyz R.M. (7005833567)
,Minno G.D. (6507661109),,,Vasileiadis E. (55552818300),Eshrati B. (16030619200),,,,Skoog I. (7005834411)
,Sukiennik-Kujawa M. (6507680603),,,Krommyda M. (55577512500),Jee S.H. (16039275900),,,,Zlokovic B.V. (7005891585)
,Ikitimur B. (6507698932),,,Chapman K. (55586527400),Kaul A. (16156995700),,,,Rehman J. (7006233867)
,Ellervik C. (6507805085),,,Jagpal B. (55596361100),Farag T. (16230217600),,,,Drewes L.R. (7006409762)
,Carpenedo M. (6507885522),,,Watchurst C. (55603748600),Sulo G. (16242476100),,,,Chui H.C. (7006642056)
,Chmielnicka-Pruszczynska M. (6507993126),,,Murphy P. (55605773970),Saadat S. (16310355800),,,,Allan S.M. (7006687687)
,Sinisi V.A. (6507998250),,,Devine J. (55627339100),Knibbs L.D. (16313525200),,,,Nedergaard M. (7006940689)
,Purnode P. (6508047660),,,Tryambake D. (55630955500),Vaduganathan M. (16417973600),,,,Katusic Z.S. (7006971465)
,Potuznik P. (6508067668),,,Law Z. (55650800700),Mosapour A. (16425956900),,,,Gustafson D.R. (7101609402)
,On Y.K. (6508172107),,,Sanyal R. (55661235100),Ahmadi M. (16644923000),,,,Breteler M.M.B. (7101734115)
,Cebron J.P. (6508221310),,,Nicolson A. (55766373500),Carrero J.J. (16834646800),,,,Hachinski V. (7101953309)
,Lastuvka J. (6508270265),,,Sims D. (55785202200),Claro R.M. (16834671700),,,,Sachdev P. (7102284091)
,Vandamme X. (6508327892),,,Jones S. (55819996200),Tsilimparis N. (17435999400),,,,Wallin A. (7102337222)
,Coutu B. (6508353626),,,Bhalla A. (55825508100),Nahvijou A. (18837247000),,,,González H.M. (7102929442)
,Vandekerckhove H. (6508355389),,,Loganathan T. (55829020900),Tessema B. (20735503600),,,,Hamel E. (7103255194)
,Likittanasombat K. (6508373489),,,Shah A. (55838765600),Adsuar J.C. (21738958900),,,,Román G.C. (7103388949)
,Gonzalo F.E. (6601945142),,,Shackcloth D. (55883218200),Kumar M. (21739940700),,,,Finch C.E. (7202276220)
,Bodanese L.C. (6601995960),,,Price F. (55906884100),Najafi F. (21743304900),,,,Schneider L.S. (7202548365)
,Ciampani N. (6602075803),,,Blank C. (55911366600),Jozwiak J.J. (21833993700),,,,Law M. (7202653021)
,Gruchala M. (6602138765),,,Cowie L. (55940943800),Atre S.R. (22933845900),,,,Jacobs R.E. (7401997016)
,Astridge P. (6602353200),,,Tysoe S. (55940998700),Banach M. (22936699500),,,,Wong A. (8085259100)
,Caimi T.M. (6602388647),,,Justin F. (55941098100),Varughese S. (22942817500),,,,Lazarov O. (8133698400)
,Mazon P. (6602616296),,,Salih I. (55974714700),Ncama B.P. (22980862000),,,,Ramirez J. (8630652400)
,Salbach P. (6602687563),,,Pusalkar A. (55982739000),Saddik B. (23020079300),,,,Lutz S.E. (8859657300)
,Angchaisuksiri P. (6602706106),,,Wiggam I. (55995040800),Bassat Q. (23024176000),,,,Quinn T.J. (20434400400)
,Markenvard J. (6602712557),,,Ispoglou S. (55998925900),Uthman O.A. (23026328100),,,,Pa J. (23397989600)
,Odakura H. (6602749897),,,Manning L. (56029363800),Prasad N. (23028765700),,,,Carare R.O. (23767970500)
,Bossolasco P. (6602763395),,,Erande R. (56039888500),Yaseri M. (23029507000),,,,Doubal F.N. (23984561000)
,Mangat I. (6602822318),,,Metcalf K. (56114217000),Khajavi A. (23050351100),,,,Nation D.A. (24473342500)
,Galley D. (6602908073),,,MacInnes B. (56178790800),Rahim F. (23052247800),,,,Bath P.M. (24723490800)
,Cimmino G. (6603005938),,,Parakramawansha R. (56205390500),Salimzadeh H. (23052386900),,,,Kalaria R.N. (26643536700)
,Al-Khalili F. (6603042649),,,Thomas K. (56239699600),Vasankari T.J. (23096834700),,,,Moskowitz M.A. (35380705600)
,Habon T. (6603051363),,,Sykes L. (56246538500),Mohammadifard N. (23110866700),,,,Schneider J.A. (35391665200)
,Bartkowiak R. (6603099477),,,Hemsley A. (56316602000),De la Hoz F.P. (23134262800),,,,Black S.E. (35400981300)
,Koomen E.M. (6603111454),,,Henry M. (56349421200),Bijani A. (23134684900),,,,Toga A.W. (35412870200)
,Kropacheva E. (6603119210),,,Wilson L. (56369067600),Shigematsu M. (23968093000),,,,Wardlaw J.M. (35417533500)
,Aydinlar A. (6603131517),,,Schofield C. (56381033700),Salam N. (23992664500),,,,Williams S.C.R. (35419560700)
,A'Court C. (6603144199),,,Jenkins C. (56425102200),Fakhar M. (24168542800),,,,Smith E.E. (35555948100)
,Jaworska K. (6603153901),,,Kerr E. (56442167400),Khazaie H. (24279942000),,,,Davis T.P. (36049109300)
,Ersanli M. (6603177417),,,Holmes C. (56489738400),Conti S. (24329297700),,,,Yuan C. (36828736100)
,Cayli M. (6603184438),,,Black T. (56489955200),Bhutta Z.A. (24342648300),,,,Montagne A. (36990828800)
,Martelet M. (6603268532),,,Taylor P. (56502810600),Hamidi S. (24366336000),,,,Lockhart S.N. (55147825800)
,Korley V. (6603276658),,,Hunter N. (56503173200),Fareed M. (24491815600),,,,Love S. (55629821400)
,Blankoff I. (6603331237),,,Lerpiniere C. (56503943600),Al-Eyadhy A. (24554080400),,,,Iadecola C. (55651531100)
,Arstall M. (6603345228),,,Howe J. (56523994000),Yoon S.J. (24823148900),,,,Sweeney M.D. (56487023100)
,Vera T.R. (6603347816),,,Huang X. (56527482600),Farid T.A. (24824364300),,,,Chen C.L.H. (57190860165)
,Vandekerckhove Y. (6603362479),,,Cheripelli B.K. (56528471000),Hostiuc S. (24829099800),,,,Hughes T.M. (57194504448)
,Henrichsen S.H. (6603439093),,,Mitchell J. (56583127800),Qorbani M. (24831040300),,,,Harrington M.G. (57195575160)
,Manita M. (6603512935),,,Hunter A. (56601092700),El Bcheraoui C. (25027689700),,,,O'Brien J.T. (57199873131)
,Manenti E.R.F. (6603648917),,,Strain D. (56602727900),Siabani S. (25227131300),,,,Passmore P. (57202567325)
,Blombery P. (6603668805),,,Wood E. (56645690900),Beuran M. (25229806700),,,,Muller M. (57205318046)
,Guazzaloca G. (6603703106),,,Balian L. (56646363100),Akinyemi R.O. (25633566800),,,,Seshadri S. (57211936432)
,Hole T. (6603890803),,,Wright F. (56666873200),Sposato L.A. (25640261000),,,,Markus H.S. (57212255965)
,Quintavalla R. (6603917215),,,Guy H. (56668485700),Pirsaheb M. (25645282200),,,,Wang D.J.J. (57219569726)
,Karolyi L. (6603918563),,,Crisp S. (56744573400),Dey S. (25958052600),,,,Paglialonga F. (6506392620)
,Pekdemir H. (6701334898),,,Innes K. (56753864700),Olagunju A.T. (26029995700),,,,de Galasso L. (6603032923)
,Spacek R. (6701338969),,,Bhakri H. (56802645800),Herteliu C. (26035943100),,,,Drozdz D. (6603139569)
,Treasure C. (6701361933),,,Allison J. (56868138400),Yotebieng M. (26325950800),,,,Jankauskiene A. (6603408774)
,Nakagomi A. (6701406390),,,Whiteman J. (56868368400),Katibeh M. (26326317100),,,,Bayazit A.K. (6603431888)
,Boveda S. (6701478201),,,Thornthwaite S. (56868604800),Hassankhani H. (26436359700),,,,Picca S. (6701341737)
,Vijayaraghavan G. (6701545034),,,Baird Y. (56868649700),Fukumoto T. (26531100300),,,,Yildizdas D. (6701658062)
,Lanas F. (6701747182),,,Amey I. (56868664100),Igumbor E.U. (26537691100),,,,Montini G. (7003313648)
,Voet J. (6701775449),,,Smith C.N.S. (56883384000),Sahebkar A. (26639699900),,,,Mir S. (7005075504)
,Loboz-Grudzien K. (6701822614),,,Kelly D. (56883641100),Athari S.S. (26653399600),,,,Schmitt C.P. (7202056863)
,Leader R. (6701924653),,,Sajid M. (56884079300),Ram U. (26653819000),,,,Oh J. (7402155570)
,Keltai M. (7003332017),,,Bokhari M. (56884366900),Karami M. (26655761400),,,,Guzzo I. (8948051100)
,Saad J.A. (7003352229),,,Manoj A. (56884476700),Sathian B. (27467953500),,,,Pasini A. (15740206600)
,Moia M. (7003353535),,,Giallombardo E. (56884576500),Kazemeini H. (28367704400),,,,Teixeira A. (15846917900)
,Adriaansen H. (7003447080),,,Courtauld G. (56884747800),Sekerija M. (30268005400),,,,Shroff R. (22956754100)
,Berge E. (7003451077),,,Pasco K. (56884751000),Duraes A.R. (30867558600),,,,Mencarelli F. (23989069700)
,Spyropoulos A. (7003458027),,,Breeds J. (56884804500),Khatony A. (32667760800),,,,Schaefer F. (34572934300)
,Wozakowska-Kaplon B. (7003594496),,,Kar A. (56926124200),Mansournia M.A. (34570618600),,,,Weber L. (35358118400)
,Koretsune Y. (7003643085),,,Mathieson P. (56970947700),Fernandes E. (34770207500),,,,Cvetkovic M. (36191605300)
,Bongiorni M.G. (7003657780),,,Vassallo J. (56976057600),Kleber M.E. (34872560400),,,,Bulut I.K. (42360924700)
,Hermans K. (7003700867),,,Esson D. (57016617500),Amini E. (35073393800),,,,Hayes W. (50961267500)
,Serediuk N. (7003753658),,,Epstein D. (57074458300),Rego M.A.S. (35099389600),,,,Yilmaz E. (55006746300)
,Diercks D. (7003765439),,,Gleave L. (57076833200),Sharif-Alhoseini M. (35108018000),,,,Kostic M. (56247970900)
,Armaganijan D. (7003779982),,,Hostettler I. (57105716400),Hegazy M.I. (35110336200),,,,Taylan C. (56378920700)
,Egstrup K. (7003815449),,,Barron L. (57155277600),Geleijnse J.M. (35195702500),,,,Afonso A.C. (56585504100)
,Cosmi F. (7003879386),,,Wilding P. (57188644363),Agrawal A. (35214460700),,,,Murer L. (57194130714)
,Grilli P. (7003900013),,,Francia N. (57188646026),Edvardsson D. (35229255500),,,,Vidal E. (57200885825)
,Mairesse G. (7003921830),,,Havard D. (57188992496),Cirillo M. (35247478400),,,,Burokiene V. (57208259747)
,Mazzone C. (7003977912),,,Webb T. (57188998400),Fernandes J.C. (35274726800),,,,Fonagy P. (7004981532)
,Herrman J.P. (7004020370),,,Bunea G. (57189264650),Akanda A.S. (35290419100),,,,Emberson J. (6701688192)
,Raymond I. (7004078380),,,Wilson J. (57189432259),Grosso G. (35299157700),,,,Anderson S.G. (7404216222)
,Skagen K. (7004147023),,,Jennings-Preece K. (57189839761),Waheed Y. (35303643700),,,,Kiran A. (36198194600)
,Tondo C. (7004201364),,,Dodd E. (57189840363),Abay S.M. (35306466900),,,,Chalmers J. (54912078200)
,Nazeyrollas P. (7004210378),,,Fotherby K. (57189840910),Hutfless S. (35331919500),,,,Ettehad D. (55014227500)
,Mahagne M.H. (7004247177),,,Jarapa R. (57189841121),Dervenis N. (35368148900),,,,Emdin C.A. (55558417300)
,Shiina Y. (7004422103),,,Finney K. (57189841191),Brugha T. (35370057100),,,,Rodgers A. (55585900000)
,Merkely B. (7004434435),,,Hayman R. (57189841415),Kawakami N. (35377339000),,,,Callender T. (56511925600)
,Demir M. (7004457669),,,Button D. (57189841424),Gupta P.C. (35398625000),,,,Bisdas S. (14627355000)
,Nessler J. (7004462216),,,Teal R. (57189841460),Bennett D.A. (35420095800),,,,Popovic K.S. (35741734200)
,Romo A.I. (7004489384),,,Davies C. (57190077381),Zare Z. (35436578700),,,,Avsenik J. (56580258100)
,Majewska K. (7004587173),,,Clarke R. (57190518830),Tripathy S.P. (35461478100),,,,Brisby H. (6602339235)
,Hermans W. (7004605277),,,Kenton A. (57190689183),Donnelly C.A. (35468127900),,,,Zetterberg H. (6701454676)
,Fonseca C. (7004665987),,,Davies R. (57190751264),Duncan B.B. (35476478500),,,,Neselius S. (55173795300)
,Cappelli R. (7004696134),,,Appleton J. (57191074693),Lam H. (35484312600),,,,Granholm F. (56182356500)
,Misselwitz F. (7004763308),,,Maanoosi M. (57191192081),Harikrishnan S. (35502546000),,,,Blennow K. (56415176000)
,Ikeda D. (7004915066),,,Adesina T. (57191366149),Mohan V. (35509595400),,,,Nuzzi N.P. (6503875468)
,Boersma L.V.A. (7004921270),,,Gilzeane N. (57191770462),Chaturvedi P. (35547314900),,,,Marcheselli S. (6603475175)
,Tedeschi L. (7005093077),,,Shaw L. (57192093314),Murhekar M. (35551594800),,,,Malosio M.L. (6603805217)
,Trusz-Gluza M. (7005229767),,,Ferdinand P. (57192295378),Futran N.D. (35554564000),,,,Bernardini B. (7004229305)
,Platonov P. (7005329885),,,Szabo S. (57193077738),Busse R. (35589070800),,,,Rizzo G. (7102724260)
,Dorian P. (7005356417),,,Mate A. (57193399602),Olusanya B.O. (35613148200),,,,Straffi L. (35741748600)
,Haverkamp W. (7005423154),,,Sutton V. (57193400405),Moradi-Lakeh M. (35617421300),,,,Mastropietro A. (36497099000)
,Maia L.N. (7005513972),,,Maguire H. (57193400751),Lassi Z.S. (35769584500),,,,Figini M. (55796625500)
,Le Heuzey J.Y. (7005514655),,,Duberley S. (57193400905),Shiue I. (35811219800),,,,Fontana L. (56884031000)
,Bassand J.P. (7005582756),,,Hedstrom A. (57193518423),Hedayatizadeh-Omran A. (35867288600),,,,Grimaldi M. (57190184050)
,van Zyl L. (7005677329),,,Marigold J.R. (57193766608),Doku D.T. (36015210300),,,,Ghirmai S. (57196469309)
,Quick A. (7005684401),,,Homan J. (57193768953),Alizadeh-Navaei R. (36024974700),,,,Sen-Chowdhry S. (9234388900)
,Altun A. (7005722551),,,Phiri D. (57193772358),Cooper C. (36041345700),,,,McKenna W. (56672467900)
,Escobar E.F. (7005846660),,,Sword J. (57193774127),Chen W. (36084128800),,,,Gikonyo B.M. (6508334471)
,Moreira D. (7005854195),,,Howcroft D. (57193775738),Martins S.C.O. (36084814200),,,,Rigatto C. (6601967319)
,Roberts-Thomson P. (7005879079),,,Stone A. (57193777529),Shokraneh F. (36146063000),,,,Lentine K.L. (6602831897)
,Otterstad J.E. (7005952601),,,Nasar M. (57193777574),Haririan H. (36157009700),,,,Abu-Alfa A.K. (6603682701)
,Mendelson R. (7005991145),,,Howard J. (57193830671),Rasella D. (36184697300),,,,Palazzuoli A. (6603722091)
,Severi S. (7006026813),,,Needle A. (57193847906),Murthy S. (36247670800),,,,Störk S. (6603842450)
,Pichler M. (7006076666),,,Bellfield R. (57193848027),Sepanlou S.G. (36248136000),,,,Deswal A. (6701589247)
,Rodier G. (7006102757),,,Johnson S. (57193856580),Mukhopadhyay S. (36342847700),,,,Sarnak M.J. (7003297360)
,Cartwright S. (7006134950),,,McGhee C. (57193856869),Kudom A.A. (36442735400),,,,Noiri E. (7003488163)
,Paganelli F. (7006142668),,,Doherty M. (57193858459),Farzaei M.H. (36458335600),,,,Winkelmayer W.C. (7003558140)
,Higa S. (7006160820),,,Patel F. (57193859578),Abd-Allah F. (36503428900),,,,Boletis J.N. (7003661265)
,Eikelboom J. (7006303000),,,Holden M. (57193860759),Andrei C.L. (36543507200),,,,Filippatos G. (7003787662)
,Mantovani L.G. (7006357517),,,Ghosh S. (57194201255),Ong S.K. (36614524300),,,,Aonuma K. (7004101310)
,Domínguez H. (7006500399),,,Trippier S. (57194396401),Li S. (36618945900),,,,Bozkurt B. (7004172442)
,Golino P. (7006544540),,,Hardwick A. (57194533152),Li X. (36627308700),,,,Pecoits-Filho R. (7004549287)
,Pires L. (7006556581),,,Ingham A. (57194585739),Feizy F. (36653958700),,,,Knoll G.A. (7005077442)
,Galinier M. (7006567299),,,Birchall K. (57194588339),Nyasulu P.S. (36700333500),,,,Vijayaraghavan K. (7005665426)
,Tereshchenko S. (7006602366),,,Gaylard J. (57194590030),Wu S. (36717129100),,,,Rossignol P. (7006015976)
,Lopes D. (7006608001),,,Persad N. (57194604650),Sambala E.Z. (36718133800),,,,Mark P.B. (7006073874)
,Barretto A.C.P. (7006657505),,,Quinn L. (57194605445),Furtado J.M. (36801755000),,,,Piña I.L. (7006648961)
,Husted S. (7006670291),,,Elfandi K. (57194904599),Oren E. (36815569400),,,,House A.A. (7101698343)
,Fitzmaurice D.A. (7006675579),,,Hassan H. (57195200354),Gomez-Cabrera M.C. (36838126500),,,,Appel L.J. (7102658830)
,Feola M. (7006806859),,,Baker J. (57195358498),Heredia-Pi I. (36941085200),,,,Iseki K. (7102690630)
,Gurfinkel E.P. (7006916035),,,Saastamoinen K. (57195391581),Samy A.M. (36973661300),,,,McCullough P.A. (7102834118)
,Filippi A. (7006977723),,,Ghatala R. (57195456096),Silva D.A.S. (36985158000),,,,Cleland J.G.F. (7202164137)
,Ibsen H. (7006987703),,,Keshvara R. (57195457791),Abdollahpour I. (36997151900),,,,Walsh M. (7402337886)
,Koistinen J. (7007161879),,,Hazel B. (57195459490),Sadeghi E. (37010381500),,,,Tang S.C.W. (7403437082)
,Bremmelgaard A. (7007183864),,,Cunningham J. (57195461711),Leta S. (37057669800),,,,Thompson A. (7404597260)
,Parsons L. (7101771639),,,Banaras A. (57195463991),Djalalinia S. (37113718000),,,,Chan C.T. (7404813615)
,Pinter A. (7101797532),,,Veraque E. (57195464375),Yamada T. (37662679800),,,,Lerma E.V. (8564563800)
,Pak H.N. (7101865848),,,Avis J. (57195543903),Goli S. (39761832500),,,,Setoguchi S. (10144067900)
,Santoro R. (7102011725),,,Davis F. (57195544615),Brant L.C. (40160889400),,,,Wang A.Y.M. (13606226000)
,Salem H. (7102055518),,,Jeffs C. (57195548268),Amoako Y.A. (44960986700),,,,Dubin R.F. (15727312900)
,Grau A. (7102330674),,,Keenan S. (57195550820),Morrison S.D. (45661573100),,,,Szummer K. (16029683000)
,Sanders L. (7102362952),,,Foot J. (57195552358),Moraga P. (46761426800),,,,Sood M.M. (16204319000)
,Paul V. (7102371840),,,Kunhunny S. (57195952511),Zucker I. (47461733200),,,,Tangri N. (16242377700)
,Fanelli R. (7102407398),,,Gilmour D. (57196609022),Moradi G. (48161434000),,,,Hajjar R.J. (19134434400)
,Jansson J.H. (7102590777),,,Chadha D. (57196751260),Tudor Car L. (48561867100),,,,McIntyre C.W. (23482225400)
,Soriano F.R. (7102757079),,,McCormick K. (57196983411),Soares Filho A.M. (49961178500),,,,Macedo E. (25635740900)
,Stokes M. (7102858859),,,Elliott E. (57197006374),Ruhago G.M. (50761517500),,,,Costanzo M.R. (26643602500)
,Egido J. (7102873467),,,Burgess L. (57197163673),Madhanraj K. (51161493400),,,,Ishii H. (35247982000)
,Gibbs H. (7102925976),,,Harvey M. (57197213859),Hostiuc M. (51763789200),,,,Komenda P. (35307406600)
,Amarenco P. (7103014617),,,Cunningham M. (57197283820),Elfaramawi M. (53363514900),,,,Cheung M. (35363709700)
,Svensson P. (7103121344),,,Steele A. (57197488213),Adekanmbi V. (53463192900),,,,Bakris G.L. (35371943700)
,Yilmaz O. (7103213350),,,Dewar R. (57197878995),Heydarpour S. (53871251300),,,,Weir M.R. (35419900800)
,Capucci A. (7103235201),,,Gregory B. (57198077130),Pakhare A.P. (54383993100),,,,Pitt B. (36048126300)
,Haas S. (7201364240),,,Crawford S. (57198091716),Ding E.L. (54413849800),,,,Lenihan C.R. (55873841000)
,Dixon S. (7201479069),,,Ball M. (57198325911),Flor L.S. (54414102000),,,,Anker S.D. (56223993400)
,Hirayama H. (7201491128),,,Gallagher J. (57198422033),Salimi Y. (54421017000),,,,Amann K. (56540979100)
,Page A. (7201642092),,,Barrie E. (57198425510),Muthupandian S. (54585668500),,,,Baigent C. (56673911800)
,Rasmussen S. (7201675172),,,David O. (57198427218),Okoro A. (54682112200),,,,Kasiske B.L. (56827310700)
,Gomez C. (7201698241),,,Findlay P. (57198432897),Rajati F. (54780507400),,,,Suri R.S. (57190244375)
,Cairns J. (7201705929),,,Hyams B. (57198433022),Ilesanmi O.S. (54782692800),,,,Banerjee D. (57198042923)
,Khokhlov A. (7201745706),,,Gulliver D. (57198436790),Sabde Y.D. (54793337800),,,,Wheeler D.C. (57198363448)
,Tachibana H. (7201775401),,,Baliga V. (57198438164),Levi M. (54893035000),,,,Herzog C.A. (57203050475)
,Jeon H.K. (7201833570),,,Graham R. (57198444645),Sharafi H. (54894153700),,,,Butler J. (57203521637)
,Lang W. (7201986462),,,Baig F. (57198446724),Esteghamati S. (54906169400),,,,deFilippi C.R. (57207615660)
,Nagao K. (7202070390),,,Dacey L. (57198446798),El-Khatib Z. (54908919000),,,,Gikonyo D.K. (57211781100)
,Roberts N. (7202129640),,,Broughton D. (57198448931),Abbafati C. (54917122400),,,,Wanner C. (57212349814)
,Clarke B. (7202373838),,,Brew H. (57198452045),Dhimal M. (54941157300),,,,Maini M.K. (7003333032)
,Yilmaz M.B. (7202595585),,,Davis M. (57198527953),Carreras G. (55068025500),,,,Bertoletti A. (7004014799)
,Hwang G.S. (7202677645),,,Campbell R. (57198747531),Alahdab F. (55135922900),,,,Haniffa M. (8319124300)
,Fu G.S. (7202722319),,,Peters J. (57199152024),Kuipers E.J. (55171198600),,,,Schurich A. (12771712800)
,Berman S.G. (7202790426),,,White J. (57199186772),Tabuchi T. (55177892400),,,,Sinclair L.V. (14039481800)
,Fournier P.Y. (7202879670),,,Williams C. (57199277470),Ghiasvand H. (55189493300),,,,Fusai G. (25629557900)
,Leung D. (7203002839),,,Alam M.I. (57199298144),Rezaeian S. (55214334100),,,,Jover-Cobos M. (55014395300)
,Martinez E.C. (7401467264),,,James A. (57199364025),Antonio C.A.T. (55247644500),,,,Quaglia A. (55357692500)
,Robertson C. (7401656127),,,Brown E. (57199419746),Rezai M.S. (55273796300),,,,Chen A. (55386492600)
,Chow J.H. (7401728826),,,Furnace J. (57199598615),Pigott D.M. (55320335600),,,,Singh K.P. (55574201314)
,Gutierrez M.V. (7401851191),,,Sharma N. (57199924830),Rahman M.A. (55327627600),,,,Pallett L.J. (55613142700)
,Rodriguez E. (7401953381),,,Ford G. (57200187540),Asayesh H. (55334322800),,,,Gill U.S. (55934460700)
,Novak M. (7402369058),,,Al-Shahi Salman R. (57200676548),Heibati B. (55341086000),,,,Thomas N. (57190856911)
,West R. (7402395730),,,Chapman N. (57200804404),Zerfu T.A. (55358278900),,,,Kennedy P.T. (57196075608)
,Patel J.R.A. (7402476838),,,Naylor C. (57200807452),Das S.K. (55362129800),,,,Cantrell D.A. (57204257925)
,Jones H. (7402812858),,,Shaw K.M. (57200929974),Ghasemi-Kasman M. (55371171100),,,,Das A. (57214490485)
,Kawai K. (7402985257),,,Maiden S. (57201058897),Shakir R.A. (55374140100),,,,Sahr F. (6506493626)
,Roberts P. (7403048709),,,Walter D. (57201067573),Cucu A. (55376733000),,,,Beare N.A.V. (6603858517)
,Davies S. (7403125758),,,Smyth N. (57201067576),Koul P.A. (55395891200),,,,Solbrig M. (6603880605)
,Goto K. (7403195416),,,Bowring A. (57201067591),Bin Sayeed M.S. (55408904500),,,,Semple M.G. (7006478127)
,Abe S. (7403335692),,,Ni H. (57201067604),Zachariah G. (55421383400),,,,Solomon T. (7102024641)
,Endo M. (7403366814),,,Dube J. (57201067671),Lazarus J.V. (55431519100),,,,Scott J.T. (7407335491)
,Wilson A. (7404869769),,,Ewing J. (57201067674),Ford J.A. (55434558100),,,,Brown C.S. (12809768100)
,Nakamura M. (7405342399),,,Dangri P. (57201067701),Jain S.K. (55461277300),,,,Read J.M. (36761595400)
,Williams M. (7410005322),,,Kibutu F. (57201067714),Murray C.J.L. (55481130700),,,,Fitzgerald F. (55750371200)
,Lee C.S. (7410156370),,,Handley D. (57201067737),Noubiap J.J. (55490374000),,,,Lado M. (56577986700)
,Smith K. (7410183879),,,Crowther H. (57201067787),Langan S.M. (55490520500),,,,Lisk D.R. (57007875000)
,Kim S.H. (7601581577),,,Walford J. (57201067805),Feyissa G.T. (55504728900),,,,Howlett P.J. (57007929800)
,Heyse A. (7801320602),,,Lam M.Y. (57201067816),Fischer F. (55508208800),,,,Deen G.F. (57008064100)
,Zateyshchikova A. (7801340977),,,Tucker S. (57201067872),Nansseu J.R. (55548984700),,,,Sesay F. (57185751200)
,Freihoff F. (7801414118),,,Irvine J. (57201067946),Barac A. (55550748700),,,,Steptoe P.J. (57194587036)
,Bosschaert M. (7801531492),,,Buckle S. (57201067956),Vaidya G. (55551507300),,,,Walder A.R. (57198779218)
,Wegrzynowska M. (7801562011),,,Pawley C. (57201067961),Yisma E. (55556060700),,,,Sevalie S. (57200279624)
,Jung B.C. (8042202500),,,Mercer L. (57201067996),Constantin M.M. (55560540800),,,,N’Jai A. (57203065871)
,Rosito G.B.A. (8066769600),,,Dickinson C. (57201068042),Negoi R.I. (55566106200),,,,Dwivedi R. (57220519345)
,Lim H.E. (8075742800),,,Cooper M. (57201068045),Filip I. (55570061400),,,,Akassoglou K. (6602192155)
,Mizuno Y. (8076824300),,,Kingwell H. (57201068087),Iqbal U. (55572166900),,,,Misgeld T. (6602489889)
,Chatlaong B. (8102261400),,,Pitt-Ford A. (57201068107),Ayele H.T. (55573710400),,,,Linden D.J. (7102905443)
